iter	Passed	Remaining
928	3264	249
929	3265	245
930	3266	242
931	3266	238
932	3267	234
933	3268	230
934	3269	227
935	3269	223
936	3270	219
937	3271	216
938	3272	212
939	3273	208
940	3276	205
941	3277	201
942	3278	198
943	3278	194
944	3279	190
945	3280	187
946	3281	183
947	3281	180
948	3282	176
949	3282	172
950	3283	169
951	3284	165
952	3284	161
953	3285	158
954	3286	154
955	3288	151
956	3289	147
957	3290	144
958	3291	140
959	3292	137
960	3293	133
961	3294	130
962	3295	126
963	3296	123
964	3296	119
965	3297	116
966	3298	112
967	3299	109
968	3299	105
969	3300	102
970	3301	98
971	3303	95
972	3304	91
973	3305	88
974	3306	84
975	3306	81
976	3307	77
977	3308	74
978	3308	70
979	3309	67
980	3310	64
981	3311	60
982	3312	57
983	3313	53
984	3313	50
985	3314	47
986	3318	43
987	3320	40
988	3321	36
989	3321	33
990	3322	30
991	3323	26
992	3324	23
993	3324	20
994	3325	16
995	3325	13
996	3326	10
997	3327	6
998	3327	3
999	3328	0
